 AADE Ed J; AADE editors' journal
 BAOJ Obes Weight Loss Manag; BAOJ obesity & weight loss management
 AVA Res Rev; AVA research reviews
 Open Access Maced J Med Sci; Open access Macedonian journal of medical sciences
 Multimed Model; MultiMedia Modeling  MMM   proceedings International Conference on Multi-Media Modeling
 Adv Stat; Advances in statistics
 J Tuberc Res; Journal of tuberculosis research
 NPJ Aging Mech Dis; NPJ aging and mechanisms of disease
 Rev Bras Reumatol Engl Ed; Revista brasileira de reumatologia
 Pomeranian J Life Sci; Pomeranian journal of life sciences
 Int J Reprod Biomed Yazd; International journal of reproductive biomedicine Yazd Iran
 IMA J Appl Math; IMA journal of applied mathematics
 Migrat Lett; Migration letters  an international journal of migration studies
 J Neurosci Rehabil; Journal of neuroscience and rehabilitation
 Annu Rev Condens Matter Phys; Annual review of condensed matter physics
 Neurosci Conscious; Neuroscience of consciousness
 J Empir Finance; Journal of empirical finance
 Probab Eng Inf Sci; Probability in the engineering and informational sciences
 J Immunobiol; Journal of immunobiology
 Int J Softw Tools Technol Transf; International journal on software tools for technology transfer  STTT
 Rare Cancers Ther; Rare cancers and therapy
 J Reliab Intell Environ; Journal of reliable intelligent environments
 Int J Comput Support Collab Learn; International journal of computer-supported collaborative learning
 Int J Res Ayurveda Pharm; International journal of research in ayurveda and pharmacy
 Water Hist; Water history
 J Dent Sleep Med; Journal of dental sleep medicine
 Opt Quantum Electron; Optical and quantum electronics
 Mineral Petrol; Mineralogy and petrology
 Proc Int Conf Web Search Data Min; Proceedings of the  International Conference on Web Search & Data Mining International Conference on Web Search & Data Mining
 Cont Philos Rev; Continental philosophy review
 OA Minim Invasive Surg; OA minimally invasive surgery
 Clin Cancer Drugs; Clinical cancer drugs
 Phys Rev A Coll Park; Physical review A
 Discov Subtleties Sugars 2013; Discovering the subtleties of sugars  proceedings of the 3rd Beilstein Glyco-Bioinformatics Symposium  June 10th - 14th 2013 Potsdam Germany International Beilstein Symposium on Glyco-Bioinformatics 3rd  2013  Potsdam Germany
 J Intensive Crit Care; Journal of intensive and critical care
 J Kidney; Journal of kidney
 J Compassionate Health Care; Journal of compassionate health care
 Nat Hazards Rev; Natural hazards review
 Evid Based Med Public Health; Evidence-based medicine & public health
 J Primatol; Journal of primatology
 Pharmacy Basel; Pharmacy Basel Switzerland
 Parergon; Parergon
 Mhealth; mHealth
 Curr Protoc Essent Lab Tech; Current protocols essential laboratory techniques
 J Pet Explor Prod Technol; Journal of petroleum exploration and production technology
 Dyn Games Appl; Dynamic games and applications
 J Biol Nat; Journal of biology and nature
 Appl Inform Berl; Applied informatics
 Open J Polit Sci; Open journal of political science
 Low Carbon Econ; Low carbon economy
 Am J Clim Change; American journal of climate change
 Phys Disabil; Physical disabilities  education and related services
 Cancer Transl Med; Cancer translational medicine
 Proc ACM SIGCOMM Conf; Proceedings of ACM SIGCOMM  Conference ACM SIGCOMM Conference
 Adv Ment Health Intellect Disabil; Advances in mental health and intellectual disabilities
 Kona; Kona  powder science and technology in Japan
 Adv Planar Lipid Bilayers Liposomes; Advances in planar lipid bilayers and liposomes
 AAPM Rep; AAPM report
 Mitochondrial DNA A DNA Mapp Seq Anal; Mitochondrial DNA Part A DNA mapping sequencing and analysis
 Transl J Am Coll Sports Med; Translational journal of the American College of Sports Medicine
 Comput Geotech; Computers and geotechnics
 Cretac Res; Cretaceous research
 Differ Geom Appl; Differential geometry and its applications
 Distrib Comput; Distributed computing
 Am J Ophthalmol Case Rep; American journal of ophthalmology case reports
 Pract Innov Wash D C; Practice innovations Washington DC
 ChemElectroChem; ChemElectroChem
 Eng Geol; Engineering geology
 Eur J Comb; European journal of combinatorics = Journal europeen de combinatoire = Europaische Zeitschrift fur Kombinatorik
 Gondwana Res; Gondwana research  international geoscience journal
 Granul Matter; Granular matter
 Intermetallics Barking; Intermetallics
 World J Rheumatol; World journal of rheumatology
 Int Bus Rev; International business review Oxford England
 Vet Sci; Veterinary sciences
 Antiinfect Agents; Anti-infective agents
 Vet Parasitol Amst; Veterinary parasitology Amsterdam  Online
 J Viruses; Journal of viruses
 Int J Min Sci Technol; International journal of mining science and technology
 Proc Fourth Workshop Data Anal Scale Danac 2015 2015; Proceedings of the Fourth Workshop on Data analytics at sCale DanaC 2015  May 31st 2015 Melbourne Australia Workshop on Data Analytics in the Cloud 4th  2015  Melbourne Vic
 J Diagn Imaging Ther; Journal of diagnostic imaging in therapy
 mSystems; mSystems
 ASHRAE J; ASHRAE journal
 Tree Ring Res; Tree-ring research
 Clin Nurs Stud; Clinical nursing studies
 Sci Lett J; Science letters journal
 JPRAS Open; JPRAS open
 Cogent Psychol; Cogent psychology
 J AIDS Immune Res; Journal of AIDS and immune research
 J Schizophr Res; Journal of schizophrenia research
 Wash J Environ Law Policy; Washington journal of environmental law & policy
 Res Sociol Educ; Research in sociology of education
 Turk J Anaesthesiol Reanim; Turkish journal of anaesthesiology and reanimation
 Austin J Drug Abuse Addict; Austin journal of drug abuse and addiction
 Int Online J Educ Teach; International online journal of education & teaching
 Lang Linguist Taipei; Language and linguistics
 J Stem Cell Res Transplant; Journal of stem cell research and transplantation
 IEEE Robot Autom Lett; IEEE robotics and automation letters
 Gene Rep; Gene reports
 Lit Numer Stud; Literacy & numeracy studies  an international journal in the education and training of adults
 J Health Environ Educ; The journal of health environment & education
 Int J Ment Health Psychiatry; International journal of mental health & psychiatry
 Spinal Cord Ser Cases; Spinal cord series and cases
 Field Exch; Field exchange
 J Hepatocell Carcinoma; Journal of hepatocellular carcinoma
 Rheumatol Ther; Rheumatology and therapy
 Curr Res Transl Med; Current research in translational medicine
 Nanomater Environ; Nanomaterials and the environment
 Precis Eng; Precision engineering
 ESC Heart Fail; ESC heart failure
 Health After 50 Sci Am Consum Health; Health after 50 with Scientific American Consumer Health
 J ISAKOS; Journal of ISAKOS
 BMJ Open Sport Exerc Med; BMJ open sport & exercise medicine
 Afr J Pharm Pharmacol; African journal of pharmacy and pharmacology
 Ethics Med Public Health; Ethics medicine and public health
 Clin Image Based Proced; Clinical image-based procedures  from planning to intervention  international workshop CLIP  held in conjunction with MICCAI   revised selected papers CLIP Workshop
 Electron J Probab; Electronic journal of probability
 Int J Mach Learn Comput; International journal of machine learning and computing
 Biosafety Los Angel; Biosafety
 Cult Soc Hist; Cultural and social history  the journal of the Social History Society
 DISP; DISP
 Visc Med; Visceral medicine
 Comput Assist Surg Abingdon; Computer assisted surgery Abingdon England
 Hum Perform; Human performance
 J Macromol Sci Phys; Journal of macromolecular science Physics
 Vis Anthropol; Visual anthropology
 J Hum Transcr; Journal of human transcriptome
 Acta Biomater Odontol Scand; Acta biomaterialia odontologica Scandinavica
 Mater Res Lett; Materials research letters
 Int J Press Polit; The international journal of press/politics
 Br J Polit Int Relat; British journal of politics & international relations
 J Math Econ; Journal of mathematical economics
 J Approx Theory; Journal of approximation theory
 J Commonw Lit; The journal of Commonwealth literature
 Policy Internet; Policy & internet
 J Prod Innov Manage; The Journal of product innovation management
 Living Rev Sol Phys; Living reviews in solar physics
 Hand Surg Rehabil; Hand surgery & rehabilitation
 Int J MCH AIDS; International journal of MCH and AIDS
 Front Environ Sci; Frontiers in environmental science
 Int J Retina Vitreous; International journal of retina and vitreous
 Nanofabrication; Nanofabrication
 Educ 3 13; Education 3-13
 Photographies; Photographies
 J Urban; Journal of urbanism
 Appl Spectrosc Rev; Applied spectroscopy reviews
 Ultrasound Int Open; Ultrasound international open
 Med Mycol Open Access; Medical mycology open access
 Surf Topogr; Surface topography  metrology and properties
 Int J Sens Netw Data Commun; International journal of sensor networks and data communications
 J Poverty Alleviation Int Dev; Journal of poverty alleviation and international development
 Afr Stat J; African statistical journal = Journal statistique africain
 Afr Archaeol Rev; The African archaeological review
 J World Prehist; Journal of world prehistory
 Austin J Cancer Clin Res; Austin journal of cancer and clinical research
 Int Conf Comput Netw Commun; International Conference on Computing Networking and Communications  proceedings International Conference on Computing Networking and Communications
 JBSP; JBSP  the journal of the British Society for Phenomenology British Society for Phenomenology
 J Med Biochem; Journal of medical biochemistry
 Dlib Mag; D-Lib magazine  the magazine of the Digital Library Forum
 Rethink Hist; Rethinking history
 Tanzan Econ Rev; Tanzanian economic review
 J Vis Art Pract; Journal of visual art practice
 Int J Respir Pulm Med; International journal of respiratory and pulmonary medicine
 Curr Opin Food Sci; Current opinion in food science
 Int J Stud Scholarsh Phys Ther; International journal of student scholarship in physical therapy
 NPG Asia Mater; NPG Asia materials
 SM Radiol J; SM radiology journal
 Psychol Sex Rev; Psychology of sexualities review
 Clin Simul Nurs; Clinical simulation in nursing
 Comput Sch; Computers in the schools  interdisciplinary journal of practice theory and applied research
 SAE Int J Transp Saf; SAE international journal of transportation safety
 Diabetol Int; Diabetology international
 Ethics Law Aging Rev; Ethics law and aging review
 Body Mov Dance Psychother; Body movement and dance in psychotherapy
 Acta Medica Transilvanica; Acta medica transilvanica
 J Nephropharmacol; Journal of nephropharmacology
 J Berry Res; Journal of berry research
 Nurs Open; Nursing open
 Temas Agenda Publica; Temas de la agenda publica
 Oral Health Case Rep; Oral health case reports
 Int J Implant Dent; International journal of implant dentistry
 J HIV AIDS; Journal of HIV and AIDS
 N Y State Psychol; New York State psychologist
 Int J Lib Arts Soc Sci; International journal of liberal arts and social science
 IEEE Signal Process Med Biol Symp;  IEEE Signal Processing in Medicine and Biology Symposium IEEE Signal Processing in Medicine and Biology Symposium
 HIV/AIDS Res Treat; HIV/AIDS research and treatment  open journal
 HSOA J Addict Neuropharmacol; HSOA journal of addiction & neuropharmacology
 Case Rep Womens Health; Case reports in women's health
 HSOA J Cell Biol Cell Metabol; HSOA journal of cell biology & cell metabolism
 Int J Pediatr Child Health; International journal of pediatrics and child health
 Womens Midlife Health; Women's midlife health
 Insights Cancer Res; Insights in cancer research
 JSM Cell Dev Biol; JSM cell & developmental biology
 Aust J Educ; Australian journal of education
 Nat Prod Chem Res; Natural products chemistry & research
 J Infect Pulm Dis; Journal of infectious pulmonary diseases
 OAlib; OAlib
 Calcium Signal St Clara; Calcium signaling Santa Clara Calif
 Gastroenterol Hepatol Bartlesville; Gastroenterology & hepatology Bartlesville Okla
 Atoms; Atoms
 Aging Soc; Aging and society  an interdisciplinary journal
 J Diagn Tech Biomed Anal; Journal of diagnostic techniques and biomedical analysis
